p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.96126924883783e-08,0.282100314963051,0.204,0.155,0.000451827195526404,0,Gm47469
9.2012985073179e-08,0.544928027770855,0.052,0.03,0.000463929470738969,0,4930474M22Rik
1.0275145033129e-07,1.76562194954837,0.018,0.007,0.000518072812570364,0,Gm816
1.13835751365525e-07,0.684458919832991,0.047,0.027,0.000573959858384976,0,Gm30015
1.39947402886804e-07,0.341758115653587,0.102,0.069,0.000705614805355267,0,Gm39526
1.54664614943393e-07,0.748911886767805,0.038,0.02,0.000779818988544587,0,Gm49958
1.55729096848023e-07,0.250234506333125,0.195,0.149,0.000785186106307731,0,Gm4221
1.5747593009368e-07,0.420182204886295,0.07,0.044,0.000793993639532336,0,4831440D22Rik
1.69243939319275e-07,0.892044557806412,0.025,0.012,0.000853327942047787,0,Gm37799
1.72050998969786e-07,0.242815823512926,0.171,0.127,0.000867481136805661,0,Gm45894
2.40987162367653e-07,0.651017277097648,0.046,0.026,0.0012150572726577,0,Gm19705
2.47272004166011e-07,0.820019499115952,0.044,0.025,0.00124674544500503,0,Gm20619
2.6666238147812e-07,1.33478855442622,0.017,0.007,0.00134451172741268,0,Gm12522
2.7313293950048e-07,0.357208442083394,0.11,0.076,0.00137713628096142,0,Gm15492
2.87130535149314e-07,1.29388307295813,0.023,0.01,0.00144771215822284,0,Gm20468
3.05316364201215e-07,0.530940020816154,0.07,0.044,0.00153940510830252,0,Gm37459
3.30105570367521e-07,0.403551734146908,0.071,0.045,0.00166439228579304,0,Gm13421
3.83340732541323e-07,1.05773893023194,0.028,0.014,0.00193280397347335,0,Gm29480
5.06554438125799e-07,0.433687090976541,0.069,0.044,0.00255404747703028,0,4930595D18Rik
5.69326962802875e-07,1.10753059796367,0.026,0.012,0.0028705465464521,0,A630012P03Rik
6.14307202474386e-07,0.357071928329168,0.096,0.066,0.00309733691487585,0,Gm28501
6.9562319630232e-07,0.986692854111237,0.016,0.006,0.0035073321557563,0,Gm26766
7.35645780863471e-07,0.366781452384168,0.082,0.055,0.00370912602711362,0,D130009I18Rik
7.9735885320424e-07,0.338895955657722,0.099,0.068,0.00402028333785578,0,Gm36198
8.70184149855869e-07,0.27547920449844,0.112,0.079,0.00438746848357329,0,Gm16552
8.80296185718887e-07,1.50126262787889,0.013,0.005,0.00443845336839463,0,C230024C17Rik
8.94323284452482e-07,0.106420979228388,0.689,0.611,0.00450917800020941,0,Firre
9.3786573596964e-07,0.726372034115455,0.03,0.015,0.00472871904075893,0,Gm37622
9.42071601587981e-07,0.40019788321769,0.091,0.062,0.0047499250152066,0,D430020J02Rik
9.49051144662385e-07,0.355602921027201,0.103,0.072,0.00478511587138774,0,4930419G24Rik
1.00848464120262e-06,0.330941326118115,0.122,0.088,0.00508477956094363,0,Gm30003
1.10843928391116e-06,0.525509100392741,0.062,0.039,0.00558875086948006,0,Gm45216
1.28863491379879e-06,0.743942837926475,0.038,0.021,0.0064972972353735,0,Gm48768
1.31183969697948e-06,0.670581575976176,0.024,0.011,0.00661429575217052,0,1700020G17Rik
1.31511939850643e-06,0.231441768769672,0.093,0.064,0.0066308320072694,0,Tmcc3os
1.38389265761142e-06,0.100298914802397,0.467,0.397,0.00697758677967678,0,4732471J01Rik
1.51106290943704e-06,0.455412782275539,0.064,0.041,0.00761877918938157,0,Gm45510
1.52049897537087e-06,0.314906903494625,0.171,0.131,0.00766635583381992,0,Gm27017
1.69303404674415e-06,0.282033177407452,0.149,0.112,0.00853627766368401,0,Gm50163
1.71935240530459e-06,0.529350298939298,0.059,0.037,0.00866897482754575,0,Gm49747
1.80788321257282e-06,0.621676214238312,0.085,0.058,0.00911534715779216,0,1700028E10Rik
1.8861521805206e-06,1.08681506311553,0.02,0.009,0.00950997929418487,0,Gm30159
1.8950576615447e-06,0.220843172108038,0.216,0.17,0.00955488072950835,0,Gm10069
2.42764103104187e-06,0.373082403561002,0.071,0.047,0.0122401660785131,0,9430037G07Rik
2.44136103424767e-06,0.675249577878845,0.04,0.023,0.0123093423346767,0,Gm15327
2.56647208304855e-06,1.17824129497214,0.015,0.006,0.0129401522427308,0,Gm38037
2.60387265440653e-06,1.16068040004491,0.02,0.009,0.0131287259235177,0,Gm50046
2.73444654929918e-06,0.779842121599355,0.038,0.021,0.0137870795015664,0,Gm49289
2.75818479271858e-06,0.279200523072923,0.154,0.117,0.0139067677248871,0,Gm2885
3.42069136335689e-06,0.934251923037032,0.017,0.007,0.0172471258540455,0,Gm13569
3.57228266956362e-06,0.638229453949573,0.039,0.022,0.0180114492199398,0,Gm2415
3.70290666041908e-06,0.664026320346237,0.036,0.02,0.018670055381833,0,Gm6878
4.33001941716102e-06,0.91487941211065,0.022,0.011,0.0218319579013258,0,Gm26562
4.45421433361935e-06,0.364417580828045,0.077,0.052,0.0224581486701088,0,Gm28496
4.52981139894069e-06,0.640137685362029,0.036,0.02,0.022839309073459,0,Gm16196
5.46667066061151e-06,0.99735750791799,0.021,0.01,0.0275629534708033,0,Gm42435
6.21926543022992e-06,0.335430390411646,0.056,0.036,0.0313575362992193,0,A330069E16Rik
6.29493919653127e-06,0.177675335408526,0.332,0.276,0.0317390834289107,0,4933407K13Rik
6.39867089785087e-06,0.68547631873216,0.022,0.01,0.0322620986669641,0,Gm43434
6.55521349183211e-06,0.500371858171276,0.04,0.023,0.0330513864258175,0,Gm42595
6.56673711773846e-06,0.514091215873944,0.044,0.026,0.0331094885476373,0,Aknaos
6.77169536393441e-06,0.271064529843108,0.123,0.091,0.0341428880249573,0,Gm4117
7.2173628554979e-06,0.177476616230989,0.052,0.032,0.0363899435174204,0,Gm12811
7.43900457021603e-06,0.626760933883896,0.03,0.016,0.0375074610430292,0,Gm40653
8.9603697713881e-06,0.29682667193565,0.155,0.118,0.0451781843873388,0,5730471H19Rik
